post_id,author,current_title,previous_title,url,publication_date,num_of_returned_tweets,keywords,post_type
10395,scott-walker,Scott Walker is against Common Core education standards,On Common Core education standards,http://www.politifact.com/wisconsin/statements/2015/jan/16/scott-walker/scott-walkers-shifting-position-common-core-educat/,2015-01-16 15:35:00,1000,"scott walker,against,education,government regulation, common core",half-true
2517,john-loughlin,Social Security is a Ponzi scheme.,,http://www.politifact.com/rhode-island/statements/2010/oct/03/john-loughlin/loughlin-compares-social-security-ponzi-scheme/,2010-10-03 12:01:00,1000,"social security,ponzi scheme",FALSE
4297,susan-combs,Susan Combs is against abortion,"Previous text was ""On abortion"".",http://www.politifact.com/texas/statements/2011/aug/21/susan-combs/did-comptroller-susan-combs-flip-flop-abortion/,2011-08-21 06:00:00,1000,"susan combs, against,abortion",FALSE
7493,bob-mcdonnell,Bob McDonnell supports raising taxes,On raising taxes.,http://www.politifact.com/virginia/statements/2013/mar/08/bob-mcdonnell/mcdonnell-does-full-flop-not-raising-taxes/,2013-03-08 13:58:00,1000,"bob mcdonnell,support,rasing taxes,economy",FALSE
8882,charlie-crist,Charlie Crist support abortion,On abortion,http://www.politifact.com/florida/statements/2014/feb/07/charlie-crist/charlie-crist-has-called-himself-pro-life-and-pro-/,2014-02-07 10:00:00,1000,"charlie crist,support, abortion",half-true
11607,greg-abbott,8 Syrians caught at Texas border in Laredo.,,http://www.politifact.com/texas/statements/2015/nov/20/greg-abbott/greg-abbott-claims-syrians-caught-mexico-border-re/,2015-11-20 17:15:00,1000,"syrians,catch,texas border,larendo,homeland security, mexico border",barely-true
3668,richard-saslaw,Dick Saslaw said the Senate would not alter its redistricting plan,On redistricting.,http://www.politifact.com/virginia/statements/2011/apr/29/richard-saslaw/dick-saslaw-said-senate-would-not-alter-its-redist/,2011-04-29 15:41:00,1000,"dick saslaw,senate,not alter, redistricting plan",FALSE
1088,barack-obama,Barack Obama supports a single-payer health care system,On a single-payer health care system.,http://www.politifact.com/truth-o-meter/statements/2009/jul/16/barack-obama/obama-statements-single-payer-have-changed-bit/,2009-07-16 15:39:00,1000,"obama,support, single payer, health care",half-true
630,john-mccain,John McCain supports torture,On torture.,http://www.politifact.com/truth-o-meter/statements/2008/aug/18/john-mccain/mccain-consistently-opposed-to-torture/,2008-08-19 13:44:00,1000,"mccain,supports,torture,military",TRUE
10917,bobby-jindal,Bobby Jindal against Common Core.,On Common Core.,http://www.politifact.com/truth-o-meter/statements/2015/jun/08/bobby-jindal/bobby-jindal-change-position-common-core/,2010-01-19 14:46:00,1000,"bobby jindal,against,common core,education",FALSE
1404,harold-ford-jr,Harold Ford Jr is against abortion rights.,On abortion rights.,http://www.politifact.com/truth-o-meter/statements/2010/jan/19/harold-ford-jr/harold-ford-flip-flopped-abortion/,2010-01-19 14:46:00,1000,"harold ford jr,against,abortion rights",half-true
3263,mike-haridopolos,Mike Haridopolos against high-speed rail,On high-speed rail.,http://www.politifact.com/florida/statements/2011/feb/18/mike-haridopolos/haridopolos-breaks-silence-high-speed-rail-then-sw/,2011-02-18 16:37:00,1000,"mike haridopolos, against, high speed rail",FALSE
10254,kathleen-murphy,The NRA supported background checks...,,http://www.politifact.com/virginia/statements/2014/nov/24/kathleen-murphy/kathleen-murphy-has-rosy-memory-nras-past-support-/,2014-11-24 15:01:00,1000,"nra, support, background checks",mostly-true
1647,barack-obama,President Barack Obama announced today that he will open up new coastal areas to oil production.,On oil drilling,http://www.politifact.com/truth-o-meter/article/2010/mar/31/obama-flip-flop-oil-drilling-not-so-fast/,2010-03-31 18:06:00,1000,"barack obama,coastal areas,oil,production,energy,environment",TRUE
10954,hillary-clinton,Hillary Clinton is against same-sex marriage.,On same-sex marriage.,http://www.politifact.com/truth-o-meter/statements/2015/jun/17/hillary-clinton/hillary-clinton-change-position-same-sex-marriage/,2015-06-17 10:42:00,1000,"hillary clinton,against,same sex,marriage,gays,lesbians",FALSE
12216,donald-trump,Donald Trump opposes a ban on assault weapons.,On banning assault weapons.,http://www.politifact.com/texas/statements/2016/apr/12/donald-trump/donald-trump-fully-flip-flops-lately-opposes-ban-a/,2016-04-12 10:00:00,1000,"donald trump,opposes,ban,assault,weapons,guns",FALSE
9988,charlie-crist,Charlie Crist is against the economic stimulus,On the economic stimulus.,http://www.politifact.com/florida/statements/2014/sep/30/charlie-crist/crist-favored-then-opposed-then-favored-economic-s/,2014-09-30 17:51:00,1000,"charlie crist,against,economic stimulus,economy",half-true
1552,barack-obama,Barack Obama is against a reconciliation bill on health care,On reconciliation,http://www.politifact.com/truth-o-meter/statements/2010/mar/05/barack-obama/obama-hypocrite-reconciliation/,2010-03-05 11:23:00,1000,"barack obama,against,reconciliation,bill,health care,legal issues",FALSE
12913,tim-canova,Tim Canova supports the Iran nuclear deal,On the Iran nuclear deal,http://www.politifact.com/florida/statements/2016/aug/17/tim-canova/did-debbie-wasserman-schultzs-opponent-tim-canova-/,2016-08-17 10:00:00,1000,"tim canova,support,iran,nuclear,deal,foreign policy",half-true
601,john-mccain,John McCain supports offshore drilling.,On offshore drilling.,http://www.politifact.com/truth-o-meter/statements/2008/aug/04/john-mccain/mccains-cheerleading-for-drilling-is-new/,2008-08-04 12:00:00,1000,"john mccain,support,offshore,drilling,energy",half-true
603,john-mccain,John McCain supports the Bush tax cuts.,On the Bush tax cuts.,http://www.politifact.com/truth-o-meter/statements/2008/aug/04/john-mccain/mccain-used-to-oppose-tax-cuts/,2008-08-04 00:00:00,1000,"mccain,support,bush,tax cuts",FALSE
609,barack-obama,President Barack Obama supports oil drilling,On offshore drilling.,http://www.politifact.com/truth-o-meter/article/2010/mar/31/obama-flip-flop-oil-drilling-not-so-fast/,2010-03-31 18:06:00,1000,"barack obama,support,oil,drilling",half-true
9808,barack-obama,"Barack Obama says Congress was going on 'vacation,' on eve of his own vacation",Congress is on vacation.,http://www.politifact.com/truth-o-meter/statements/2014/aug/22/barack-obama/barack-obama-says-congress-was-going-vacation-eve-/,2014-08-22 13:54:00,1000,"barack obama,congress,vacation",barely-true
5919,mitt-romney,Mitt Romney is against abortion,On abortion,http://www.politifact.com/truth-o-meter/article/2012/oct/19/politifacts-guide-mitt-romney-and-abortion/,2012-10-19 15:52:00,1000,"mitt romney,against,abortion",FALSE
5262,travis-rowley,Martin Luther King was a Republican.,,http://www.politifact.com/rhode-island/statements/2012/jan/29/travis-rowley/republican-travis-rowley-says-martin-luther-king-j/,2012-02-01 09:20:00,1000,"martin luther king,republican",FALSE
6862,eric-cantor,Eric Cantor is against sequestration,On sequestration,http://www.politifact.com/virginia/statements/2012/oct/08/eric-cantor/eric-cantor-says-he-never-backed-sequestration/,2012-10-08 06:00:00,1000,"eric cantor,against, sequestration",FALSE
4435,rick-perry,Social Security is a Ponzi scheme.,,http://www.politifact.com/truth-o-meter/statements/2011/sep/12/rick-perry/rick-perry-says-social-security-ponzi-scheme/,2011-09-12 21:37:00,1000,"social security,ponzi scheme",FALSE
6043,josh-mandel,Josh Mandel cuts the budget.,Says he cut the budget.,http://www.politifact.com/ohio/statements/2012/jun/06/josh-mandel/josh-mandel-says-state-treasurer-he-cut-budget/,2012-06-06 06:00:00,1000,"josh mandel, state treasurer, cut, budget",mostly-true
2105,rick-perry,Rick Perry debates even though Bill White didn't release his complete income tax returns per Perry's request,On debating.,http://www.politifact.com/texas/statements/2010/jul/24/rick-perry/perry-debated-2002-even-though-his-opponent-didnt-/,2010-07-24 06:00:00,1000,"bill white, debate, Rick Perry, release, complete income tax returns",FALSE
