topic_id,category,count
1,0,605
1,0.5,587
1,0.8,615
1,0.1,560
1,1,1193
1,0.4,519
1,0.3,695
1,0.6,1759
1,0.2,575
1,0.7,470
2,0,163
2,0.5,146
2,0.1,174
2,0.4,158
2,1,141
2,0.8,105
2,0.3,144
2,0.6,172
2,0.2,151
2,0.7,137
3,0,255
3,1,495
3,0.1,283
3,0.2,258
3,0.8,653
3,0.6,238
3,0.3,224
3,0.4,274
3,0.7,193
3,0.5,264
4,0,220
4,0.5,131
4,0.4,190
4,0.1,223
4,1,132
4,0.2,183
4,0.3,151
4,0.6,136
4,0.8,100
4,0.7,127
5,0,160
5,0.5,124
5,0.1,150
5,0.8,114
5,1,211
5,0.4,143
5,0.6,124
5,0.3,126
5,0.2,130
5,0.7,101
6,0.5,136
6,0,256
6,0.4,153
6,0.2,189
6,1,145
6,0.8,100
6,0.6,119
6,0.3,152
6,0.1,249
6,0.7,105
7,0,215
7,1,127
7,0.8,149
7,0.4,207
7,0.1,257
7,0.6,186
7,0.3,183
7,0.2,202
7,0.7,163
7,0.5,199
8,0.5,224
8,1,523
8,0.1,172
8,0.4,226
8,0.2,221
8,0.6,187
8,0.3,185
8,0.8,171
8,0.7,163
8,0,175
9,0,367
9,0.5,160
9,0.8,52
9,0.4,368
9,1,94
9,0.2,252
9,0.6,152
9,0.3,203
9,0.1,304
9,0.7,70
10,0,165
10,0.5,83
10,0.1,128
10,0.4,88
10,1,63
10,0.8,58
10,0.3,100
10,0.6,89
10,0.2,96
10,0.7,76
11,0.5,99
11,1,1729
11,0.2,79
11,0.1,88
11,0.4,128
11,0.6,103
11,0.3,103
11,0.8,306
11,0.7,175
11,0,61
12,0,239
12,1,193
12,0.4,148
12,0.8,99
12,0.2,124
12,0.6,129
12,0.3,133
12,0.1,163
12,0.7,95
12,0.5,127
13,0,191
13,0.5,213
13,0.8,66
13,0.4,261
13,1,54
13,0.1,188
13,0.6,116
13,0.3,215
13,0.2,200
13,0.7,82
